Player,Pos,Age,Tm,Link,Status
Alec Burks,SG,31,DET,https://www.basketball-reference.com/players/b/burksal01.html,Active
Deonte Burton,SG,29,SAC,https://www.basketball-reference.com/players/b/burtode02.html,Active
Jimmy Butler,SF,33,MIA,https://www.basketball-reference.com/players/b/butleji01.html,Active
John Butler,C,20,POR,https://www.basketball-reference.com/players/b/butlejo01.html,Active
Jamal Cain,SF,23,MIA,https://www.basketball-reference.com/players/c/cainja01.html,Active
Kentavious Caldwell-Pope,SG,29,DEN,https://www.basketball-reference.com/players/c/caldwke01.html,Active
Facundo Campazzo,PG,31,DAL,https://www.basketball-reference.com/players/c/campafa01.html,Active
Vlatko Čančar,PF,25,DEN,https://www.basketball-reference.com/players/c/cancavl01.html,Active
Clint Capela,C,28,ATL,https://www.basketball-reference.com/players/c/capelca01.html,Active
Vernon Carey Jr.,C,21,WAS,https://www.basketball-reference.com/players/c/careyve01.html,Active
Jevon Carter,PG,27,MIL,https://www.basketball-reference.com/players/c/carteje01.html,Active
Wendell Carter Jr.,C,23,ORL,https://www.basketball-reference.com/players/c/cartewe01.html,Active
Alex Caruso,PG,28,CHI,https://www.basketball-reference.com/players/c/carusal01.html,Active
Julian Champagnie,SF,21,PHI,https://www.basketball-reference.com/players/c/champju02.html,Active
Justin Champagnie,SF,21,TOR,https://www.basketball-reference.com/players/c/champju01.html,Active
Kennedy Chandler,PG,20,MEM,https://www.basketball-reference.com/players/c/chandke01.html,Active
Max Christie,SG,19,LAL,https://www.basketball-reference.com/players/c/chrisma02.html,Active
Josh Christopher,SG,21,HOU,https://www.basketball-reference.com/players/c/chrisjo01.html,Active
Brandon Clarke,PF,26,MEM,https://www.basketball-reference.com/players/c/clarkbr01.html,Active
Jordan Clarkson,SG,30,UTA,https://www.basketball-reference.com/players/c/clarkjo01.html,Active
Nic Claxton,C,23,BRK,https://www.basketball-reference.com/players/c/claxtni01.html,Active
Amir Coffey,SG,25,LAC,https://www.basketball-reference.com/players/c/coffeam01.html,Active
John Collins,PF,25,ATL,https://www.basketball-reference.com/players/c/collijo01.html,Active
Zach Collins,C,25,SAS,https://www.basketball-reference.com/players/c/colliza01.html,Active
Mike Conley,PG,35,UTA,https://www.basketball-reference.com/players/c/conlemi01.html,Active
Pat Connaughton,SG,30,MIL,https://www.basketball-reference.com/players/c/connapa01.html,Active
Robert Covington,PF,32,LAC,https://www.basketball-reference.com/players/c/covinro01.html,Active
Torrey Craig,SF,32,PHO,https://www.basketball-reference.com/players/c/craigto01.html,Active
Jarrett Culver,SG,23,ATL,https://www.basketball-reference.com/players/c/culveja01.html,Active
Cade Cunningham,PG,21,DET,https://www.basketball-reference.com/players/c/cunnica01.html,Active
Seth Curry,SG,32,BRK,https://www.basketball-reference.com/players/c/curryse01.html,Active
Stephen Curry,PG,34,GSW,https://www.basketball-reference.com/players/c/curryst01.html,Active
Dyson Daniels,PG,19,NOP,https://www.basketball-reference.com/players/d/daniedy01.html,Active
Anthony Davis,C,29,LAL,https://www.basketball-reference.com/players/d/davisan02.html,Active
Johnny Davis,SG,20,WAS,https://www.basketball-reference.com/players/d/davisjo06.html,Active
Terence Davis,SG,25,SAC,https://www.basketball-reference.com/players/d/daviste02.html,Active
JD Davison,PG,20,BOS,https://www.basketball-reference.com/players/d/davisjd01.html,Active
Darius Days,PF,23,HOU,https://www.basketball-reference.com/players/d/daysda01.html,Active
Dewayne Dedmon,C,33,MIA,https://www.basketball-reference.com/players/d/dedmode01.html,Active
Matthew Dellavedova,PG,32,SAC,https://www.basketball-reference.com/players/d/dellama01.html,Active
DeMar DeRozan,SF,33,CHI,https://www.basketball-reference.com/players/d/derozde01.html,Active
Moussa Diabaté,PF,21,LAC,https://www.basketball-reference.com/players/d/diabamo01.html,Active
Mamadi Diakite,PF,26,CLE,https://www.basketball-reference.com/players/d/diakima01.html,Active
Hamidou Diallo,SG,24,DET,https://www.basketball-reference.com/players/d/diallha01.html,Active
Gorgui Dieng,C,33,SAS,https://www.basketball-reference.com/players/d/dienggo01.html,Active
Ousmane Dieng,SF,19,OKC,https://www.basketball-reference.com/players/d/diengou01.html,Active
