,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,PG,SG,SF,PF,C,Player Name
0,2020-21,21.0,MIA,NBA,PF,61.0,737.0,14.2,0.55,0.004,0.482,11.5,20.6,16.1,6.1,1.3,4.0,13.5,19.5,,0.3,1.0,1.3,0.085,,-3.6,-0.5,-4.1,-0.4,False,False,False,True,True,Precious Achiuwa
1,2021-22,22.0,TOR,NBA,C,73.0,1725.0,12.7,0.503,0.259,0.217,8.7,21.7,14.9,6.9,1.1,2.3,11.3,18.5,,0.4,2.1,2.5,0.07,,-2.0,-0.6,-2.6,-0.2,False,False,False,True,True,Precious Achiuwa
2,2022-23,23.0,TOR,NBA,C,13.0,257.0,14.1,0.489,0.305,0.368,10.0,28.6,18.6,10.1,0.6,3.9,12.0,20.8,,0.0,0.3,0.3,0.058,,-2.2,-1.2,-3.4,-0.1,False,False,False,True,True,Precious Achiuwa
3,Career,,,NBA,,147.0,2719.0,13.2,0.514,0.201,0.298,9.6,22.0,15.6,7.0,1.1,2.9,11.9,19.0,,0.7,3.4,4.1,0.073,,-2.4,-0.6,-3.1,-0.7,False,False,False,True,True,Precious Achiuwa
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,True,Precious Achiuwa
5,2 seasons,,TOR,NBA,,86.0,1982.0,12.8,0.501,0.265,0.238,8.9,22.6,15.3,7.3,1.0,2.5,11.4,18.8,,0.5,2.4,2.8,0.068,,-2.0,-0.7,-2.7,-0.3,False,False,False,True,True,Precious Achiuwa
6,1 season,,MIA,NBA,,61.0,737.0,14.2,0.55,0.004,0.482,11.5,20.6,16.1,6.1,1.3,4.0,13.5,19.5,,0.3,1.0,1.3,0.085,,-3.6,-0.5,-4.1,-0.4,False,False,False,True,True,Precious Achiuwa
0,2013-14,20.0,OKC,NBA,C,81.0,1197.0,11.2,0.541,0.0,0.735,14.1,17.1,15.6,4.9,1.7,3.9,22.5,11.7,,0.9,1.9,2.9,0.114,,-3.1,0.9,-2.2,-0.1,False,False,False,False,True,Steven Adams
1,2014-15,21.0,OKC,NBA,C,70.0,1771.0,14.1,0.549,0.005,0.514,12.2,19.3,15.8,5.5,1.1,3.8,16.8,14.3,,1.9,2.2,4.1,0.111,,-1.5,0.2,-1.3,0.3,False,False,False,False,True,Steven Adams
2,2015-16,22.0,OKC,NBA,C,80.0,2014.0,15.5,0.621,0.0,0.46,12.5,16.1,14.4,4.3,1.0,3.3,14.1,12.6,,4.2,2.3,6.5,0.155,,0.0,0.2,0.2,1.1,False,False,False,False,True,Steven Adams
3,2016-17,23.0,OKC,NBA,C,80.0,2389.0,16.5,0.589,0.002,0.392,13.0,15.4,14.2,5.4,1.8,2.6,16.0,16.2,,3.3,3.1,6.5,0.13,,-0.2,0.0,-0.2,1.1,False,False,False,False,True,Steven Adams
4,2017-18,24.0,OKC,NBA,C,76.0,2487.0,20.6,0.63,0.003,0.402,16.6,13.9,15.3,5.5,1.8,2.8,13.3,16.7,,6.7,3.0,9.7,0.187,,1.7,-0.6,1.1,2.0,False,False,False,False,True,Steven Adams
5,2018-19,25.0,OKC,NBA,C,80.0,2669.0,18.5,0.591,0.002,0.361,14.7,14.8,14.7,6.6,2.0,2.4,12.6,16.4,,5.1,4.0,9.1,0.163,,0.7,0.4,1.1,2.1,False,False,False,False,True,Steven Adams
6,2019-20,26.0,OKC,NBA,C,63.0,1680.0,20.5,0.604,0.006,0.421,14.0,24.0,19.2,13.2,1.5,3.4,14.2,17.3,,3.8,2.7,6.5,0.185,,1.9,1.1,2.9,2.1,False,False,False,False,True,Steven Adams
7,2020-21,27.0,NOP,NBA,C,58.0,1605.0,15.1,0.596,0.01,0.438,14.4,20.4,17.4,9.1,1.6,2.2,17.5,11.7,,2.3,1.7,4.0,0.119,,-0.4,0.1,-0.3,0.7,False,False,False,False,True,Steven Adams
8,2021-22,28.0,MEM,NBA,C,76.0,1999.0,17.6,0.56,0.003,0.518,17.9,22.0,19.9,16.1,1.6,2.7,19.6,12.0,,3.8,3.0,6.8,0.163,,1.0,1.0,2.0,2.0,False,False,False,False,True,Steven Adams
9,2022-23,29.0,MEM,NBA,C,33.0,882.0,17.3,0.55,0.005,0.431,20.3,23.4,21.9,11.1,1.5,4.0,20.6,14.2,,0.9,1.6,2.5,0.136,,-0.4,0.8,0.4,0.5,False,False,False,False,True,Steven Adams
10,Career,,,NBA,,697.0,18693.0,17.1,0.591,0.003,0.438,14.7,17.9,16.4,7.9,1.6,3.0,15.7,14.6,,32.9,25.6,58.5,0.15,,0.2,0.3,0.5,11.9,False,False,False,False,True,Steven Adams
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,True,Steven Adams
12,7 seasons,,OKC,NBA,,530.0,14207.0,17.2,0.596,0.003,0.429,14.0,16.8,15.4,6.4,1.6,3.1,14.8,15.3,,25.8,19.4,45.2,0.153,,0.2,0.2,0.4,8.6,False,False,False,False,True,Steven Adams
13,2 seasons,,MEM,NBA,,109.0,2881.0,17.5,0.557,0.003,0.488,18.6,22.4,20.5,14.5,1.5,3.1,19.9,12.7,,4.7,4.6,9.3,0.155,,0.6,0.9,1.5,2.6,False,False,False,False,True,Steven Adams
14,1 season,,NOP,NBA,,58.0,1605.0,15.1,0.596,0.01,0.438,14.4,20.4,17.4,9.1,1.6,2.2,17.5,11.7,,2.3,1.7,4.0,0.119,,-0.4,0.1,-0.3,0.7,False,False,False,False,True,Steven Adams
0,2017-18,20.0,MIA,NBA,C,69.0,1368.0,15.7,0.57,0.021,0.526,9.7,21.6,15.6,11.0,1.2,2.5,13.6,15.9,,2.3,1.9,4.2,0.148,,-1.1,0.7,-0.4,0.6,False,False,False,True,True,Bam Adebayo
1,2018-19,21.0,MIA,NBA,C,82.0,1913.0,17.9,0.623,0.031,0.465,9.2,24.0,16.6,14.2,1.8,3.0,17.1,15.8,,3.4,3.4,6.8,0.171,,-0.4,2.2,1.8,1.8,False,False,False,True,True,Bam Adebayo
2,2019-20,22.0,MIA,NBA,PF,72.0,2417.0,20.3,0.598,0.018,0.484,8.5,24.9,17.0,24.2,1.7,3.8,17.6,21.2,,4.6,3.9,8.5,0.168,,1.4,2.0,3.4,3.3,False,False,False,True,True,Bam Adebayo
3,2020-21,23.0,MIA,NBA,C,64.0,2143.0,22.7,0.626,0.01,0.443,7.7,22.6,15.3,26.9,1.7,3.2,15.0,23.7,,5.6,3.2,8.8,0.197,,2.9,2.0,4.9,3.7,False,False,False,True,True,Bam Adebayo
4,2021-22,24.0,MIA,NBA,C,56.0,1825.0,21.8,0.608,0.008,0.466,8.7,26.1,17.5,17.5,2.2,2.6,14.4,25.0,,3.6,3.5,7.2,0.188,,1.7,2.1,3.8,2.7,False,False,False,True,True,Bam Adebayo
5,2022-23,25.0,MIA,NBA,C,34.0,1196.0,20.2,0.595,0.019,0.355,8.6,24.4,16.2,15.9,1.4,2.0,14.3,26.5,,1.6,1.7,3.3,0.131,,0.3,0.4,0.7,0.8,False,False,False,True,True,Bam Adebayo
6,Career,,,NBA,,377.0,10862.0,20.0,0.606,0.016,0.454,8.6,24.0,16.4,19.3,1.7,3.0,15.5,21.3,,21.0,17.6,38.7,0.171,,1.0,1.7,2.7,12.9,False,False,False,True,True,Bam Adebayo
0,2022-23,22.0,UTA,NBA,SG,16.0,127.0,7.1,0.468,0.5,0.214,5.2,9.7,7.4,3.2,0.4,0.0,0.0,15.2,,0.0,0.0,0.1,0.026,,-3.9,-2.7,-6.6,-0.1,False,True,False,False,False,Ochai Agbaji
1,Career,,,NBA,,16.0,127.0,7.1,0.468,0.5,0.214,5.2,9.7,7.4,3.2,0.4,0.0,0.0,15.2,,0.0,0.0,0.1,0.026,,-3.9,-2.7,-6.6,-0.1,False,True,False,False,False,Ochai Agbaji
0,2021-22,21.0,MEM,NBA,PF,32.0,360.0,10.2,0.452,0.364,0.242,9.4,16.1,12.6,7.7,0.8,2.5,9.9,18.4,,-0.1,0.4,0.3,0.044,,-4.2,-1.5,-5.7,-0.3,False,False,False,True,False,Santi Aldama
1,2022-23,22.0,MEM,NBA,PF,33.0,770.0,15.2,0.595,0.492,0.284,5.6,17.5,11.6,7.5,1.5,3.4,7.0,15.2,,1.4,1.2,2.6,0.162,,0.4,1.6,2.0,0.8,False,False,False,True,False,Santi Aldama
2,Career,,,NBA,,65.0,1130.0,13.6,0.544,0.446,0.269,6.8,17.0,12.0,7.6,1.3,3.1,8.0,16.2,,1.3,1.6,2.9,0.124,,-1.1,0.6,-0.5,0.4,False,False,False,True,False,Santi Aldama
0,2019-20,21.0,NOP,NBA,SG,47.0,591.0,8.9,0.473,0.5,0.139,1.6,13.5,7.5,21.1,1.3,1.1,16.1,23.3,,-0.7,0.4,-0.2,-0.02,,-3.2,-1.4,-4.6,-0.4,False,True,False,False,False,Nickeil Alexander-Walker
1,2020-21,22.0,NOP,NBA,SG,46.0,1007.0,12.5,0.522,0.478,0.144,1.4,14.1,7.8,14.7,2.2,2.1,12.4,23.2,,-0.3,1.0,0.7,0.035,,-1.4,0.1,-1.3,0.2,False,True,False,False,False,Nickeil Alexander-Walker
2,2021-22,23.0,TOT,NBA,SG,65.0,1466.0,10.5,0.475,0.497,0.16,2.7,11.5,7.1,16.1,1.5,1.5,11.3,24.1,,-1.1,1.1,0.1,0.003,,-1.8,-1.1,-2.9,-0.3,False,True,False,False,False,Nickeil Alexander-Walker
3,2021-22,23.0,NOP,NBA,SG,50.0,1317.0,10.5,0.474,0.483,0.153,3.0,11.0,6.9,16.1,1.5,1.4,11.2,24.8,,-1.1,0.9,-0.1,-0.005,,-1.7,-1.3,-3.0,-0.3,False,True,False,False,False,Nickeil Alexander-Walker
4,2021-22,23.0,UTA,NBA,SG,15.0,149.0,10.2,0.497,0.688,0.25,0.8,15.6,8.5,15.5,1.7,2.4,13.1,17.9,,0.0,0.2,0.2,0.07,,-2.9,1.2,-1.7,0.0,False,True,False,False,False,Nickeil Alexander-Walker
5,2022-23,24.0,UTA,NBA,SG,26.0,402.0,13.8,0.616,0.519,0.195,2.2,9.2,5.6,20.6,2.0,2.0,18.6,18.5,,0.4,0.3,0.7,0.088,,0.0,0.5,0.5,0.3,False,True,False,False,False,Nickeil Alexander-Walker
6,Career,,,NBA,,184.0,3466.0,11.2,0.501,0.494,0.155,2.1,12.3,7.2,17.1,1.8,1.7,13.2,23.0,,-1.6,2.9,1.3,0.018,,-1.7,-0.6,-2.3,-0.3,False,True,False,False,False,Nickeil Alexander-Walker
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,Nickeil Alexander-Walker
8,3 seasons,,NOP,NBA,,143.0,2915.0,10.9,0.49,0.485,0.147,2.1,12.6,7.3,16.7,1.7,1.6,12.6,23.9,,-2.0,2.4,0.4,0.006,,-1.9,-0.9,-2.8,-0.6,False,True,False,False,False,Nickeil Alexander-Walker
9,2 seasons,,UTA,NBA,,41.0,551.0,12.9,0.584,0.564,0.21,1.8,10.9,6.4,19.3,1.9,2.1,17.2,18.4,,0.4,0.5,1.0,0.083,,-0.7,0.7,-0.1,0.3,False,True,False,False,False,Nickeil Alexander-Walker
0,2018-19,23.0,UTA,NBA,SG,38.0,416.0,7.5,0.516,0.556,0.337,0.8,5.1,3.0,8.9,0.7,1.1,13.9,24.4,,-0.4,0.4,0.0,0.002,,-4.2,-2.1,-6.3,-0.5,False,True,False,False,False,Grayson Allen
1,2019-20,24.0,MEM,NBA,SG,38.0,718.0,12.0,0.609,0.562,0.179,1.2,11.1,6.2,10.0,0.7,0.2,10.9,17.6,,0.8,0.4,1.2,0.082,,-0.1,-1.2,-1.3,0.1,False,True,False,False,False,Grayson Allen
2,2020-21,25.0,MEM,NBA,SG,50.0,1259.0,12.8,0.586,0.662,0.22,1.6,12.0,6.7,11.5,1.7,0.6,9.6,16.8,,1.5,1.2,2.7,0.101,,-0.2,0.1,-0.2,0.6,False,True,False,False,False,Grayson Allen
3,2021-22,26.0,MIL,NBA,SG,66.0,1805.0,12.7,0.609,0.684,0.13,1.9,10.9,6.5,7.6,1.2,1.0,6.7,15.2,,2.8,1.4,4.2,0.11,,0.6,-0.2,0.4,1.1,False,True,False,False,False,Grayson Allen
4,2022-23,27.0,MIL,NBA,SG,33.0,904.0,12.8,0.604,0.611,0.258,3.8,10.2,7.0,13.2,1.3,0.6,11.9,14.8,,1.4,1.0,2.4,0.126,,-0.1,0.5,0.4,0.5,False,True,False,False,False,Grayson Allen
5,Career,,,NBA,,225.0,5102.0,12.2,0.592,0.635,0.201,2.0,10.6,6.3,10.0,1.2,0.7,9.7,16.6,,6.1,4.4,10.4,0.098,,-0.2,-0.3,-0.5,1.9,False,True,False,False,False,Grayson Allen
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,Grayson Allen
7,2 seasons,,MIL,NBA,,99.0,2709.0,12.8,0.608,0.661,0.169,2.5,10.7,6.7,9.5,1.2,0.8,8.4,15.1,,4.2,2.4,6.5,0.116,,0.4,0.1,0.4,1.7,False,True,False,False,False,Grayson Allen
8,2 seasons,,MEM,NBA,,88.0,1977.0,12.5,0.595,0.624,0.205,1.4,11.7,6.6,10.9,1.3,0.5,10.1,17.1,,2.3,1.6,3.9,0.094,,-0.2,-0.4,-0.6,0.7,False,True,False,False,False,Grayson Allen
9,1 season,,UTA,NBA,,38.0,416.0,7.5,0.516,0.556,0.337,0.8,5.1,3.0,8.9,0.7,1.1,13.9,24.4,,-0.4,0.4,0.0,0.002,,-4.2,-2.1,-6.3,-0.5,False,True,False,False,False,Grayson Allen
0,2017-18,19.0,BRK,NBA,C,72.0,1441.0,17.5,0.636,0.038,0.37,10.5,18.1,14.3,5.4,0.9,4.6,15.1,16.3,,2.7,1.5,4.2,0.141,,-0.9,0.1,-0.8,0.5,False,False,False,False,True,Jarrett Allen
1,2018-19,20.0,BRK,NBA,C,80.0,2096.0,18.5,0.632,0.079,0.489,9.6,24.0,16.8,7.9,1.0,4.5,13.0,15.9,,4.4,3.3,7.6,0.175,,0.2,1.4,1.6,1.9,False,False,False,False,True,Jarrett Allen
2,2019-20,21.0,BRK,NBA,C,70.0,1852.0,20.7,0.664,0.013,0.581,12.3,24.9,18.7,8.9,1.0,4.2,11.7,14.9,,5.2,2.9,8.2,0.212,,1.4,1.0,2.3,2.0,False,False,False,False,True,Jarrett Allen
3,2020-21,22.0,TOT,NBA,C,63.0,1864.0,20.1,0.661,0.039,0.602,11.6,26.3,18.9,8.7,0.8,4.3,14.1,16.6,,4.3,2.1,6.4,0.166,,1.3,-0.2,1.1,1.4,False,False,False,False,True,Jarrett Allen
4,2020-21,22.0,BRK,NBA,C,12.0,320.0,21.5,0.73,0.0,0.938,13.8,28.6,21.6,8.3,1.1,5.2,19.3,15.5,,1.0,0.5,1.4,0.216,,1.7,0.9,2.6,0.4,False,False,False,False,True,Jarrett Allen
5,2020-21,22.0,CLE,NBA,C,51.0,1544.0,19.8,0.649,0.046,0.549,11.2,25.9,18.3,8.8,0.8,4.1,13.1,16.8,,3.4,1.6,5.0,0.155,,1.2,-0.4,0.8,1.1,False,False,False,False,True,Jarrett Allen
6,2021-22,23.0,CLE,NBA,C,56.0,1809.0,23.0,0.698,0.018,0.428,12.0,24.5,18.4,8.2,1.2,3.7,12.7,18.1,,5.4,3.0,8.5,0.225,,2.7,1.2,3.9,2.7,False,False,False,False,True,Jarrett Allen
7,2022-23,24.0,CLE,NBA,C,31.0,1045.0,18.9,0.655,0.014,0.435,11.2,24.2,17.9,6.6,1.2,3.4,12.4,16.1,,2.3,1.9,4.2,0.192,,0.9,1.1,1.9,1.0,False,False,False,False,True,Jarrett Allen
8,Career,,,NBA,,372.0,10107.0,19.9,0.659,0.036,0.49,11.2,23.9,17.6,7.8,1.0,4.1,13.1,16.3,,24.4,14.7,39.1,0.186,,1.0,0.8,1.7,9.6,False,False,False,False,True,Jarrett Allen
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,True,Jarrett Allen
10,4 seasons,,BRK,NBA,,234.0,5709.0,19.1,0.648,0.044,0.506,11.0,23.1,17.1,7.6,1.0,4.4,13.4,15.7,,13.3,8.2,21.5,0.181,,0.4,0.9,1.3,4.8,False,False,False,False,True,Jarrett Allen
11,3 seasons,,CLE,NBA,,138.0,4398.0,20.9,0.672,0.027,0.47,11.5,24.9,18.2,8.0,1.1,3.8,12.8,17.2,,11.1,6.5,17.6,0.193,,1.7,0.6,2.3,4.8,False,False,False,False,True,Jarrett Allen
0,2021-22,23.0,NOP,NBA,PG,54.0,834.0,16.4,0.52,0.374,0.18,3.2,10.2,6.6,26.9,4.2,0.8,11.2,18.4,,1.0,1.1,2.1,0.121,,-0.5,2.4,1.9,0.8,True,False,False,False,False,Jose Alvarado
1,2022-23,24.0,NOP,NBA,PG,36.0,735.0,12.7,0.526,0.525,0.185,2.6,10.0,6.3,20.0,3.1,0.5,14.1,19.9,,0.2,1.0,1.2,0.081,,-2.1,1.3,-0.8,0.2,True,False,False,False,False,Jose Alvarado
2,Career,,,NBA,,90.0,1569.0,14.7,0.523,0.447,0.182,2.9,10.1,6.5,23.7,3.7,0.7,12.6,19.1,,1.2,2.2,3.3,0.102,,-1.2,1.9,0.6,1.0,True,False,False,False,False,Jose Alvarado
0,2014-15,21.0,SAS,NBA,SF,33.0,358.0,8.2,0.389,0.124,0.157,1.6,20.8,11.4,10.9,2.1,1.5,9.5,13.4,,-0.3,0.6,0.3,0.044,,-3.8,2.3,-1.4,0.1,False,False,True,True,False,Kyle Anderson
1,2015-16,22.0,SAS,NBA,SF,78.0,1245.0,12.9,0.528,0.125,0.281,2.4,19.4,11.2,13.7,2.5,1.8,15.1,14.4,,0.7,2.8,3.5,0.133,,-1.7,3.1,1.4,1.1,False,False,True,True,False,Kyle Anderson
2,2016-17,23.0,SAS,NBA,SF,72.0,1020.0,12.5,0.525,0.191,0.273,3.7,19.0,11.5,12.4,2.5,2.1,14.3,12.1,,0.7,2.0,2.7,0.127,,-1.4,3.2,1.8,1.0,False,False,True,True,False,Kyle Anderson
3,2017-18,24.0,SAS,NBA,SF,74.0,1978.0,15.9,0.582,0.13,0.333,4.7,17.6,11.1,14.7,2.9,2.5,15.8,13.5,,2.4,3.8,6.2,0.151,,-0.4,3.3,2.9,2.4,False,False,True,True,False,Kyle Anderson
4,2018-19,25.0,MEM,NBA,SF,43.0,1281.0,12.8,0.569,0.123,0.232,4.1,18.1,11.0,15.0,2.1,2.7,16.0,12.6,,0.8,1.8,2.7,0.1,,-1.6,2.4,0.8,0.9,False,False,True,True,False,Kyle Anderson
5,2019-20,26.0,MEM,NBA,SF,67.0,1330.0,12.5,0.534,0.257,0.236,4.7,17.6,11.3,15.9,1.9,2.4,15.3,13.5,,0.9,1.7,2.5,0.091,,-1.5,2.0,0.5,0.9,False,False,True,True,False,Kyle Anderson
6,2020-21,27.0,MEM,NBA,PF,69.0,1887.0,17.2,0.578,0.397,0.28,2.9,19.5,11.1,18.3,2.1,2.7,10.4,18.5,,2.9,2.7,5.6,0.143,,1.4,1.9,3.3,2.5,False,False,True,True,False,Kyle Anderson
7,2021-22,28.0,MEM,NBA,PF,69.0,1484.0,14.4,0.506,0.232,0.224,4.8,21.6,13.0,16.2,2.5,2.7,12.1,16.2,,1.0,2.5,3.5,0.113,,-0.9,2.1,1.2,1.2,False,False,True,True,False,Kyle Anderson
8,2022-23,29.0,MIN,NBA,PF,28.0,697.0,13.2,0.577,0.221,0.387,2.6,15.5,9.3,18.4,2.2,2.7,17.0,14.0,,0.6,0.8,1.4,0.099,,-1.0,1.6,0.7,0.5,False,False,True,True,False,Kyle Anderson
9,Career,,,NBA,,533.0,11280.0,14.1,0.547,0.229,0.271,3.8,18.8,11.3,15.5,2.4,2.4,13.7,14.6,,9.6,18.8,28.4,0.121,,-0.8,2.5,1.7,10.5,False,False,True,True,False,Kyle Anderson
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,True,False,Kyle Anderson
11,4 seasons,,SAS,NBA,,257.0,4601.0,13.8,0.54,0.141,0.291,3.6,18.6,11.2,13.6,2.7,2.1,14.8,13.4,,3.5,9.2,12.7,0.132,,-1.3,3.1,1.9,4.5,False,False,True,True,False,Kyle Anderson
12,4 seasons,,MEM,NBA,,248.0,5982.0,14.5,0.549,0.282,0.249,4.0,19.3,11.6,16.5,2.2,2.7,12.7,15.5,,5.5,8.7,14.3,0.115,,-0.5,2.1,1.6,5.5,False,False,True,True,False,Kyle Anderson
13,1 season,,MIN,NBA,,28.0,697.0,13.2,0.577,0.221,0.387,2.6,15.5,9.3,18.4,2.2,2.7,17.0,14.0,,0.6,0.8,1.4,0.099,,-1.0,1.6,0.7,0.5,False,False,True,True,False,Kyle Anderson
0,2013-14,19.0,MIL,NBA,SF,77.0,1897.0,10.8,0.518,0.282,0.483,4.6,16.3,10.2,12.1,1.7,2.6,19.4,15.0,,0.1,1.1,1.2,0.031,,-2.4,-0.1,-2.5,-0.2,True,True,True,True,False,Giannis Antetokounmpo
1,2014-15,20.0,MIL,NBA,SG,81.0,2541.0,14.8,0.552,0.056,0.445,4.5,19.7,12.2,13.1,1.5,2.8,15.6,19.6,,2.2,4.0,6.2,0.117,,-1.2,1.2,0.0,1.2,True,True,True,True,False,Giannis Antetokounmpo
2,2015-16,21.0,MIL,NBA,PG,80.0,2823.0,18.8,0.566,0.108,0.404,4.6,20.0,12.4,20.0,1.7,3.4,14.8,22.3,,4.2,2.9,7.1,0.121,,1.3,0.7,2.1,2.9,True,True,True,True,False,Giannis Antetokounmpo
3,2016-17,22.0,MIL,NBA,SF,80.0,2845.0,26.1,0.599,0.143,0.486,5.9,22.6,14.3,26.6,2.3,4.7,13.3,28.3,,7.9,4.5,12.4,0.21,,4.9,2.4,7.3,6.7,True,True,True,True,False,Giannis Antetokounmpo
4,2017-18,23.0,MIL,NBA,PF,75.0,2756.0,27.3,0.598,0.1,0.457,6.7,25.3,16.0,23.7,2.0,3.3,11.7,31.2,,8.3,3.6,11.9,0.207,,5.3,0.9,6.2,5.7,True,True,True,True,False,Giannis Antetokounmpo
5,2018-19,24.0,MIL,NBA,PF,72.0,2358.0,30.9,0.644,0.163,0.55,7.3,30.0,19.3,30.3,1.8,3.9,14.8,32.3,,8.9,5.5,14.4,0.292,,6.3,4.1,10.4,7.4,True,True,True,True,False,Giannis Antetokounmpo
6,2019-20,25.0,MIL,NBA,PF,63.0,1917.0,31.9,0.613,0.237,0.508,7.7,34.8,22.1,34.2,1.5,3.0,13.2,37.5,,6.1,5.0,11.1,0.279,,7.4,4.1,11.5,6.6,True,True,True,True,False,Giannis Antetokounmpo
7,2020-21,26.0,MIL,NBA,PF,61.0,2013.0,29.2,0.633,0.201,0.528,5.3,28.9,17.5,28.7,1.7,3.2,13.2,32.5,,6.9,3.3,10.2,0.244,,6.2,2.8,9.0,5.6,True,True,True,True,False,Giannis Antetokounmpo
8,2021-22,27.0,MIL,NBA,PF,67.0,2204.0,32.1,0.633,0.194,0.615,6.6,30.4,18.7,31.7,1.6,4.0,12.2,34.9,,9.2,3.7,12.9,0.281,,7.6,3.5,11.2,7.4,True,True,True,True,False,Giannis Antetokounmpo
9,2022-23,28.0,MIL,NBA,PF,30.0,1011.0,28.3,0.589,0.141,0.602,7.2,29.4,18.5,30.4,1.2,2.3,12.3,38.6,,2.3,1.8,4.1,0.195,,5.5,2.4,7.9,2.5,True,True,True,True,False,Giannis Antetokounmpo
10,Career,,,NBA,,686.0,22365.0,24.7,0.603,0.159,0.509,5.9,25.2,15.8,24.6,1.7,3.4,13.6,28.5,,56.1,35.6,91.6,0.197,,4.0,2.1,6.1,45.8,True,True,True,True,False,Giannis Antetokounmpo
0,2015-16,23.0,NYK,NBA,SF,2.0,6.0,32.9,0.75,0.25,0.0,0.0,17.9,9.1,0.0,0.0,0.0,0.0,30.2,,0.0,0.0,0.0,0.291,,3.7,2.2,5.9,0.0,False,False,True,False,False,Thanasis Antetokounmpo
1,2019-20,27.0,MIL,NBA,SF,20.0,129.0,12.2,0.496,0.208,0.354,9.8,8.7,9.2,16.3,2.5,1.4,17.8,21.6,,-0.1,0.2,0.2,0.07,,-4.6,1.4,-3.2,0.0,False,False,True,False,False,Thanasis Antetokounmpo
2,2020-21,28.0,MIL,NBA,SF,57.0,551.0,10.3,0.523,0.212,0.358,10.7,12.9,11.8,10.3,1.9,1.6,21.3,15.3,,0.0,0.6,0.7,0.057,,-3.7,0.2,-3.5,-0.2,False,False,True,False,False,Thanasis Antetokounmpo
3,2021-22,29.0,MIL,NBA,SF,48.0,473.0,12.5,0.577,0.109,0.359,9.2,13.4,11.3,6.5,1.6,2.4,14.9,15.7,,0.4,0.5,0.9,0.095,,-3.5,-0.1,-3.5,-0.2,False,False,True,False,False,Thanasis Antetokounmpo
4,2022-23,30.0,MIL,NBA,SF,17.0,73.0,4.3,0.444,0.143,0.286,5.9,14.2,10.1,5.1,1.3,3.5,43.2,8.0,,-0.1,0.1,0.0,-0.009,,-6.4,1.0,-5.4,-0.1,False,False,True,False,False,Thanasis Antetokounmpo
5,Career,,,NBA,,144.0,1232.0,11.1,0.541,0.17,0.352,9.7,12.7,11.2,9.1,1.8,2.0,18.9,15.8,,0.3,1.5,1.8,0.07,,-3.8,0.3,-3.5,-0.5,False,False,True,False,False,Thanasis Antetokounmpo
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,False,False,Thanasis Antetokounmpo
7,4 seasons,,MIL,NBA,,142.0,1226.0,11.0,0.539,0.169,0.356,9.7,12.7,11.3,9.2,1.8,2.0,19.0,15.7,,0.3,1.5,1.8,0.069,,-3.9,0.3,-3.6,-0.5,False,False,True,False,False,Thanasis Antetokounmpo
8,1 season,,NYK,NBA,,2.0,6.0,32.9,0.75,0.25,0.0,0.0,17.9,9.1,0.0,0.0,0.0,0.0,30.2,,0.0,0.0,0.0,0.291,,3.7,2.2,5.9,0.0,False,False,True,False,False,Thanasis Antetokounmpo
0,2020-21,20.0,ORL,NBA,PG,47.0,1273.0,12.1,0.496,0.312,0.237,3.0,15.4,9.0,24.2,1.1,1.3,14.8,24.3,,-0.9,0.9,0.0,-0.001,,-1.9,-1.4,-3.3,-0.4,True,False,False,False,False,Cole Anthony
1,2021-22,21.0,ORL,NBA,PG,65.0,2059.0,13.5,0.519,0.429,0.277,1.6,16.2,8.9,28.9,1.1,0.8,14.2,25.1,,-0.1,1.7,1.6,0.038,,-0.6,-0.6,-1.2,0.4,True,False,False,False,False,Cole Anthony
2,2022-23,22.0,ORL,NBA,PG,19.0,499.0,15.4,0.559,0.367,0.27,2.1,17.3,9.8,25.9,1.6,1.4,13.1,21.9,,0.6,0.5,1.1,0.102,,-0.3,0.6,0.3,0.3,True,False,False,False,False,Cole Anthony
3,Career,,,NBA,,131.0,3831.0,13.3,0.516,0.383,0.263,2.1,16.1,9.1,27.0,1.2,1.0,14.3,24.4,,-0.4,3.0,2.7,0.033,,-1.0,-0.7,-1.7,0.3,True,False,False,False,False,Cole Anthony
0,2017-18,20.0,TOR,NBA,SF,74.0,1481.0,10.0,0.587,0.569,0.179,3.4,10.4,7.0,5.0,1.7,0.8,10.8,12.4,,1.4,1.6,3.0,0.098,,-1.2,0.6,-0.6,0.5,False,False,True,False,False,OG Anunoby
1,2018-19,21.0,TOR,NBA,SF,67.0,1352.0,9.8,0.544,0.5,0.153,4.8,10.8,7.9,4.7,1.6,1.3,11.3,15.5,,0.3,1.7,2.0,0.07,,-2.4,0.1,-2.4,-0.1,False,False,True,False,False,OG Anunoby
